,SOI,window_size,up_z,low_z,1000_today,inc_per_share,avg_p_change,days_per_hold,trades_per_year,earnings_per_year
246,jpm_adj,256.0,3.28,2.38,1488.02040557,25.1868444,0.488020405567,190.4,1.36557017544,0.517805035105
465,wfm_adj,232.0,2.1,2.9,1489.23594243,18.1870571,0.489235942431,196.1,1.32611513122,0.516684581258
79,cbs_adj,204.0,2.68,3.18,1552.11158641,22.7443781,0.552111586407,331.9,0.784118603817,0.516345164607
73,cag_adj,238.0,2.96,2.1,1552.85325312,11.5488068,0.552853253122,340.0,0.764725964794,0.515953034096
319,ni_adj,57.0,3.18,1.9,2097.92411574,11.6537204,0.593830612598,415.8,0.630496284463,0.514455977342
236,ir_adj,162.0,2.66,2.48,1688.37039244,30.5287514,0.688370392442,526.7,0.657051030915,0.513819298257
55,bax_adj,220.0,2.82,3.2,1510.04506435,16.3393324,0.510045064354,239.2,1.28571428572,0.50838545712
423,tmk_adj,254.0,2.66,2.58,1481.26966527,23.1241522,0.48126966527,195.4,1.33213716109,0.507771961153
134,dltr_adj,188.0,2.6,2.22,1533.42475122,30.8900004,0.533424751224,288.3,1.27522289571,0.507608801086
347,pfg_adj,239.0,2.46,3.28,1485.33102031,18.6309903,0.485331020308,213.6,1.21726746774,0.504566128971
412,symc_adj,220.0,2.9,3.0,1487.907664,7.2794096,0.487907663998,219.6,1.22178012685,0.503850393277
124,dg_adj,240.0,2.76,2.46,1434.10023306,25.651999,0.434100233057,81.0,3.20987654321,0.50253065113
487,zts_adj,106.0,2.98,3.16,1532.02553727,16.119655,0.484825136066,231.1,1.1973439272,0.502018816338
172,fcx_adj,58.0,2.92,2.98,2243.25581858,8.8113991,0.470680665436,226.863333333,1.82387442691,0.499787826879
6,acn_adj,60.0,3.3,2.34,1812.20349792,53.956025,0.812203497917,820.0,0.317073170732,0.49592739863
435,txt_adj,136.0,2.9,3.18,1468.78389781,13.5430865,0.468783897807,194.0,1.35609624949,0.495056649671
210,hcp_adj,270.0,1.98,2.98,1443.48985847,10.7339873,0.443489858471,124.8,2.08637116613,0.495040349356
407,stz_adj,19.0,3.02,2.34,2438.59011379,98.1541221,0.497499496795,264.6,0.985292991783,0.495028366039
215,holx_adj,20.0,3.12,2.98,2227.35850354,25.9699992,0.531953463051,351.9,0.754494114445,0.494992586869
81,ccl_adj,94.0,2.92,2.3,1704.13089245,21.7796646,0.651259033967,571.35,0.48193391899,0.492143162073
200,grmn_adj,231.0,3.0,2.48,1480.55745802,16.3564425,0.480557458013,233.1,1.11540295661,0.491235049044
421,tif_adj,246.0,2.74,2.76,1497.14672209,30.0399075,0.497146722092,276.6,0.940000829851,0.49041080951
243,jec_adj,86.0,3.16,3.14,1521.06616883,19.7064854,0.521066168833,348.1,0.812412467892,0.488586569929
245,jnpr_adj,224.0,2.92,2.56,1492.27498057,8.8069993,0.492274980568,257.6,1.49298889539,0.48821824933
262,leg_adj,220.0,2.24,2.52,1440.52941308,16.2172062,0.44052941308,133.6,1.94705882353,0.487488828166
351,phm_adj,276.0,2.72,2.8,1500.15458443,7.8474037,0.500154584433,295.3,0.880521085367,0.485939416299
209,hcn_adj,264.0,2.58,2.76,1488.76699526,23.8216588,0.424947721743,94.2,3.19784517252,0.484259255405
232,intc_adj,258.0,2.36,2.68,1487.30933614,12.1594766,0.487309336144,268.8,0.96727206594,0.483869199446
